Cell_line	CI.05	CI.95	mean	penetrance
KYSE510_OESOPHAGUS	-1.021964532	-0.134746162	-0.415092465	0.571428571
8505C_THYROID	-1.894710652	0.832748852	0.35981839	0.642857143
GI1_CENTRAL_NERVOUS_SYSTEM	-3.623834097	-3.623834097	-3.623834097	0
A549_LUNG	-0.722475493	0.882781535	0.47088272	0.785714286
LU99_LUNG	-1.230161237	0.027441723	-0.388129559	1
CAL29_URINARY_TRACT	-3.94752451	-3.94752451	-3.94752451	0
5637_URINARY_TRACT	-3.751187045	-3.751187045	-3.751187045	0
SW948_LARGE_INTESTINE	-4.303123683	-4.303123683	-4.303123683	0
NCIH1339_LUNG	-4.036306453	-4.036306453	-4.036306453	0
HEC1A_ENDOMETRIUM	-3.807795071	-0.612864118	-1.033210529	0.214285714
SNU840_OVARY	-3.844375683	-3.301607914	-3.581961246	0.071428571
HCC827_LUNG	-3.732908389	-1.26343199	-1.737616483	0.071428571
GAMG_CENTRAL_NERVOUS_SYSTEM	-3.941488353	-3.941488353	-3.941488353	0
NCIH1437_LUNG	-4.388226489	-3.287241547	-3.611592607	0.142857143
GB1_CENTRAL_NERVOUS_SYSTEM	-4.055034096	-2.34924961	-2.809597653	0.071428571
NCIH322_LUNG	-3.987580021	-3.987580021	-3.987580021	0
SNUC2A_LARGE_INTESTINE	-4.007328888	-3.315396401	-3.550685891	0.357142857
CORL23_LUNG	-3.14823021	-2.248432497	-2.525787352	0.357142857
SNU761_LIVER	-3.842471158	-3.842471158	-3.842471158	0
NCIN87_STOMACH	-3.584646224	-3.584646224	-3.584646224	0
RERFLCAD2_LUNG	-3.719774656	-3.719774656	-3.719774656	0
HCC1806_BREAST	-1.178648989	2.026278113	1.549920364	0.857142857
NCIH1793_LUNG	-3.794061674	-3.794061674	-3.794061674	0
MESSA_SOFT_TISSUE	-3.952293749	-0.676848954	-1.153509804	0.071428571
NCIH1975_LUNG	-3.923915736	-1.293782129	-1.768872594	0.071428571
MFE296_ENDOMETRIUM	-2.596398012	-0.665589504	-1.113813059	0.285714286
KYSE270_OESOPHAGUS	-0.189181236	0.735303375	0.443974713	0.642857143
KYSE150_OESOPHAGUS	-1.637932948	-0.555962151	-0.898251087	0.714285714
PSN1_PANCREAS	-1.733469692	-1.189424255	-1.391178394	0.5
OC316_OVARY	-2.699865187	-0.550951612	-0.941113597	0.214285714
CAL27_UPPER_AERODIGESTIVE_TRACT	-4.2278894	-0.661978422	-1.138863746	0.071428571
A172_CENTRAL_NERVOUS_SYSTEM	-4.269424937	-4.269424937	-4.269424937	0
TE11_OESOPHAGUS	-0.976564061	-0.086757603	-0.375195753	0.285714286
BC3C_URINARY_TRACT	-3.901733716	-3.358965947	-3.639319279	0.071428571
ESS1_ENDOMETRIUM	-3.643788621	-3.643788621	-3.643788621	0
HS944T_SKIN	-2.253010883	-0.400260589	-0.846798594	0.428571429
NCIH2023_LUNG	-3.888088654	-3.888088654	-3.888088654	0
RH30_SOFT_TISSUE	-3.963318777	-3.963318777	-3.963318777	0
8MGBA_CENTRAL_NERVOUS_SYSTEM	-3.257231606	-0.663314113	-1.135489707	0.214285714
MPP89_PLEURA	-3.660937942	-3.660937942	-3.660937942	0
GCIY_STOMACH	-4.050013295	-1.412344097	-1.887469415	0.071428571
SNU213_PANCREAS	-3.763874854	-1.831176658	-2.298272694	0.071428571
SF539_CENTRAL_NERVOUS_SYSTEM	-3.531791206	-3.531791206	-3.531791206	0
YD8_UPPER_AERODIGESTIVE_TRACT	-3.881741737	-2.245031999	-2.70255274	0.071428571
HARA_LUNG	-3.825738018	-1.84526925	-2.313398802	0.071428571
MHHES1_BONE	-3.52178883	-3.52178883	-3.52178883	0
MELHO_SKIN	-1.523937756	1.379005265	0.903361809	0.857142857
U251MG_CENTRAL_NERVOUS_SYSTEM	-3.854022892	-3.854022892	-3.854022892	0
JIMT1_BREAST	-2.903953616	-0.622907078	-0.980405877	0.214285714
PANC1005_PANCREAS	-3.833471246	-3.833471246	-3.833471246	0
NCIH1703_LUNG	-3.595341992	-3.595341992	-3.595341992	0
KYSE410_OESOPHAGUS	-3.707448561	-3.707448561	-3.707448561	0
HT144_SKIN	-3.616830907	-3.074063139	-3.35441647	0.071428571
SNU601_STOMACH	-3.583723665	-3.583723665	-3.583723665	0
LS411N_LARGE_INTESTINE	-3.950015023	-2.313305285	-2.704578579	0.142857143
U2OS_BONE	-3.554847537	-3.554847537	-3.554847537	0
22RV1_PROSTATE	-3.824015414	-2.503530687	-2.940992293	0.071428571
OE19_OESOPHAGUS	-3.980970466	-3.980970466	-3.980970466	0
SH4_SKIN	-3.592183472	-3.592183472	-3.592183472	0
NCIH661_LUNG	-3.981894497	-3.981894497	-3.981894497	0
LC1SQSF_LUNG	-3.841707003	-3.841707003	-3.841707003	0
JHH1_LIVER	-3.809159365	-3.809159365	-3.809159365	0
NCIH28_PLEURA	-3.423945854	-3.423945854	-3.423945854	0
GMS10_CENTRAL_NERVOUS_SYSTEM	-3.684449554	-3.684449554	-3.684449554	0
HEYA8_OVARY	0.242797826	1.658558359	1.292720123	1
RKO_LARGE_INTESTINE	-4.271988274	-3.069575704	-3.495354392	0.071428571
CAL62_THYROID	-2.822169951	0.458877056	-0.017079532	0.571428571
HLF_LIVER	-3.322593535	-3.322593535	-3.322593535	0
T24_URINARY_TRACT	-3.371117134	-1.815321349	-2.208100416	0.214285714
ES2_OVARY	0.939361351	2.289047675	1.868128195	1
YD15_SALIVARY_GLAND	-3.66612533	-3.66612533	-3.66612533	0
KYSE70_OESOPHAGUS	-4.008565372	-3.465797604	-3.746150935	0.071428571
KP4_PANCREAS	-2.398584549	-1.873352626	-2.07168337	0.571428571
A2780_OVARY	-0.376720534	-0.25591311	-0.310612247	1
AGS_STOMACH	-2.17476123	-1.911348175	-2.025437815	0.928571429
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	-4.021984571	-2.819572	-3.188906408	0.142857143
HGC27_STOMACH	-3.645394147	-3.645394147	-3.645394147	0
647V_URINARY_TRACT	-4.072463246	-1.602986847	-2.07717134	0.071428571
