Cell_line	CI.05	CI.95	mean	penetrance
KYSE510_OESOPHAGUS	-4.102076655	-3.30410136	-3.588465685	0.142857143
8505C_THYROID	-3.934955951	-2.708596354	-3.087719977	0.142857143
GI1_CENTRAL_NERVOUS_SYSTEM	-3.623834097	-3.623834097	-3.623834097	0
A549_LUNG	-2.029711402	-1.004661574	-1.318449421	0.285714286
LU99_LUNG	-0.990390573	1.548352417	1.144733932	1
CAL29_URINARY_TRACT	-3.94752451	-3.94752451	-3.94752451	0
5637_URINARY_TRACT	-3.751187045	-3.751187045	-3.751187045	0
SW948_LARGE_INTESTINE	-4.303123683	-4.303123683	-4.303123683	0
NCIH1339_LUNG	-4.036306453	-4.036306453	-4.036306453	0
HEC1A_ENDOMETRIUM	-3.826101177	-1.444990234	-1.837921136	0.214285714
SNU840_OVARY	-1.792686623	-0.800887018	-1.0898384	0.214285714
HCC827_LUNG	-3.732908389	-3.732908389	-3.732908389	0
GAMG_CENTRAL_NERVOUS_SYSTEM	-3.941488353	-3.941488353	-3.941488353	0
NCIH1437_LUNG	-4.388226489	-1.312200288	-1.783679479	0.142857143
GB1_CENTRAL_NERVOUS_SYSTEM	-4.055034096	-4.055034096	-4.055034096	0
NCIH322_LUNG	-3.987580021	-0.751267497	-1.151783921	0.142857143
SNUC2A_LARGE_INTESTINE	-4.535703358	-3.844714694	-4.087905051	0.285714286
CORL23_LUNG	-3.924864093	-3.320932835	-3.525426427	0.142857143
SNU761_LIVER	-3.842471158	-3.842471158	-3.842471158	0
NCIN87_STOMACH	-3.584646224	-3.584646224	-3.584646224	0
RERFLCAD2_LUNG	-3.719774656	-0.590746027	-0.957806767	0.142857143
HCC1806_BREAST	-1.684262263	-0.774515296	-1.067440922	0.571428571
NCIH1793_LUNG	-3.794061674	-3.794061674	-3.794061674	0
MESSA_SOFT_TISSUE	-3.952293749	-3.952293749	-3.952293749	0
NCIH1975_LUNG	-3.923915736	-3.923915736	-3.923915736	0
MFE296_ENDOMETRIUM	-3.597726125	-1.346938084	-1.810996627	0.214285714
KYSE270_OESOPHAGUS	-3.935367117	-3.421756147	-3.691258786	0.071428571
KYSE150_OESOPHAGUS	-0.847757713	0.134726333	-0.205086113	0.714285714
PSN1_PANCREAS	-2.978993743	-0.708001437	-1.175203462	0.285714286
OC316_OVARY	-3.854518238	-3.854518238	-3.854518238	0
CAL27_UPPER_AERODIGESTIVE_TRACT	-4.2278894	-1.61208906	-2.084749008	0.142857143
A172_CENTRAL_NERVOUS_SYSTEM	-4.269424937	-4.269424937	-4.269424937	0
TE11_OESOPHAGUS	-3.16985891	-0.453632021	-0.923000176	0.214285714
BC3C_URINARY_TRACT	-3.901733716	-3.901733716	-3.901733716	0
ESS1_ENDOMETRIUM	-3.643788621	-3.643788621	-3.643788621	0
HS944T_SKIN	0.404604261	0.880548682	0.695767542	0.857142857
NCIH2023_LUNG	-3.888088654	-1.667468996	-2.139395143	0.071428571
RH30_SOFT_TISSUE	-3.963318777	-3.963318777	-3.963318777	0
8MGBA_CENTRAL_NERVOUS_SYSTEM	-3.68206281	-3.68206281	-3.68206281	0
MPP89_PLEURA	-3.660937942	-3.660937942	-3.660937942	0
GCIY_STOMACH	-4.050013295	-4.050013295	-4.050013295	0
SNU213_PANCREAS	-3.763874854	-1.15286171	-1.475837192	0.142857143
SF539_CENTRAL_NERVOUS_SYSTEM	-3.531791206	-3.531791206	-3.531791206	0
YD8_UPPER_AERODIGESTIVE_TRACT	-3.881741737	-3.881741737	-3.881741737	0
HARA_LUNG	-3.825738018	-2.26400536	-2.685122929	0.142857143
MHHES1_BONE	-3.52178883	-3.52178883	-3.52178883	0
MELHO_SKIN	0.284252261	1.420095243	1.082519458	0.785714286
U251MG_CENTRAL_NERVOUS_SYSTEM	-3.854022892	-3.854022892	-3.854022892	0
JIMT1_BREAST	-3.680587499	-0.014488095	-0.491422014	0.071428571
PANC1005_PANCREAS	-3.833471246	-3.833471246	-3.833471246	0
NCIH1703_LUNG	-3.595341992	-3.595341992	-3.595341992	0
KYSE410_OESOPHAGUS	-3.707448561	-0.810642435	-1.286663524	0.071428571
HT144_SKIN	-3.616830907	-1.215106646	-1.688797273	0.071428571
SNU601_STOMACH	-3.583723665	-3.583723665	-3.583723665	0
LS411N_LARGE_INTESTINE	-3.950015023	-3.950015023	-3.950015023	0
U2OS_BONE	-3.554847537	-3.554847537	-3.554847537	0
22RV1_PROSTATE	-3.824015414	-2.97677944	-3.220084156	0.142857143
OE19_OESOPHAGUS	-3.980970466	-3.980970466	-3.980970466	0
SH4_SKIN	-3.592183472	-3.078572502	-3.348075141	0.071428571
NCIH661_LUNG	-3.981894497	-3.981894497	-3.981894497	0
LC1SQSF_LUNG	-3.841707003	-1.019509124	-1.495324318	0.071428571
JHH1_LIVER	-3.809159365	-3.809159365	-3.809159365	0
NCIH28_PLEURA	-3.423945854	-3.423945854	-3.423945854	0
GMS10_CENTRAL_NERVOUS_SYSTEM	-3.684449554	-3.684449554	-3.684449554	0
HEYA8_OVARY	-0.650176658	0.716351719	0.295316856	1
RKO_LARGE_INTESTINE	-4.271988274	-2.912622931	-3.238317901	0.142857143
CAL62_THYROID	-3.91544378	-2.144245789	-2.597819453	0.214285714
HLF_LIVER	-3.322593535	-3.322593535	-3.322593535	0
T24_URINARY_TRACT	-3.913884902	-1.293349561	-1.768394753	0.071428571
ES2_OVARY	1.344701091	2.534857635	2.169360804	1
YD15_SALIVARY_GLAND	-3.66612533	-3.66612533	-3.66612533	0
KYSE70_OESOPHAGUS	-4.008565372	-4.008565372	-4.008565372	0
KP4_PANCREAS	-2.553801727	-1.667904831	-1.94279932	0.428571429
A2780_OVARY	-0.582164699	-0.266163364	-0.400275508	1
AGS_STOMACH	-2.961267462	-1.77422961	-2.159754853	0.5
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	-4.021984571	-1.555233938	-2.026080346	0.142857143
HGC27_STOMACH	-3.645394147	-3.645394147	-3.645394147	0
647V_URINARY_TRACT	-4.072463246	-4.072463246	-4.072463246	0
CAL12T_LUNG	-3.778420169	-3.778420169	-3.778420169	0
L33_PANCREAS	-3.96370396	-3.96370396	-3.96370396	0
SF295_CENTRAL_NERVOUS_SYSTEM	-3.617044793	-3.617044793	-3.617044793	0
UO31_KIDNEY	-3.751814638	-3.751814638	-3.751814638	0
YD10B_UPPER_AERODIGESTIVE_TRACT	-3.910851653	-3.910851653	-3.910851653	0
DMS273_LUNG	-0.431731615	-0.077204144	-0.224052024	0.928571429
G361_SKIN	-3.824413544	-3.310802575	-3.580305214	0.071428571
OAW42_OVARY	-3.610798943	-3.610798943	-3.610798943	0
HMC18_BREAST	-4.20553028	-4.20553028	-4.20553028	0
CAL54_KIDNEY	-3.424612461	-3.424612461	-3.424612461	0
MIAPACA2_PANCREAS	-4.045890717	-4.045890717	-4.045890717	0
SW620_LARGE_INTESTINE	-0.549735238	1.262706367	0.859651081	0.857142857
SKHEP1_LIVER	-0.336556696	0.506855543	0.230613525	0.857142857
SW480_LARGE_INTESTINE	-1.65345317	-0.097321732	-0.422034851	0.214285714
YKG1_CENTRAL_NERVOUS_SYSTEM	-3.98584558	-3.98584558	-3.98584558	0
J82_URINARY_TRACT	-3.788478117	-3.788478117	-3.788478117	0
KYSE30_OESOPHAGUS	-4.211283334	-1.847545401	-2.156695599	0.142857143
NCIH2172_LUNG	-3.950610627	-3.950610627	-3.950610627	0
G401_SOFT_TISSUE	-3.570835643	-3.570835643	-3.570835643	0
SNU407_LARGE_INTESTINE	-2.824701605	-0.624227814	-1.050274912	0.214285714
AN3CA_ENDOMETRIUM	-3.68389993	-3.68389993	-3.68389993	0
PLCPRF5_LIVER	-3.712627015	-3.712627015	-3.712627015	0
YAPC_PANCREAS	-3.769028846	-1.113087411	-1.507074871	0.142857143
SCABER_URINARY_TRACT	-3.800276075	-3.286665105	-3.556167744	0.071428571
G292CLONEA141B1_BONE	-3.433839094	-3.433839094	-3.433839094	0
JHH4_LIVER	-3.714510416	-3.714510416	-3.714510416	0
HS766T_PANCREAS	-1.658841577	-0.71664722	-1.007951567	0.357142857
SW837_LARGE_INTESTINE	-3.887630175	-3.887630175	-3.887630175	0
KURAMOCHI_OVARY	-3.799995523	-3.799995523	-3.799995523	0
YH13_CENTRAL_NERVOUS_SYSTEM	-3.301888387	-3.301888387	-3.301888387	0
NCIH2052_PLEURA	-3.363181296	-3.363181296	-3.363181296	0
COLO679_SKIN	-3.737145442	-3.737145442	-3.737145442	0
A704_KIDNEY	-3.573207546	-3.573207546	-3.573207546	0
NCIH596_LUNG	-3.533608884	-3.533608884	-3.533608884	0
KP3_PANCREAS	-4.211936	-4.211936	-4.211936	0
SKUT1_SOFT_TISSUE	-3.937110245	-3.937110245	-3.937110245	0
42MGBA_CENTRAL_NERVOUS_SYSTEM	-3.913560923	-3.913560923	-3.913560923	0
A375_SKIN	-2.191826168	-1.270491158	-1.578497803	0.785714286
FTC133_THYROID	-3.832430708	-3.832430708	-3.832430708	0
HT1080_SOFT_TISSUE	-0.810436695	-0.205412186	-0.435983672	0.928571429
SNU1077_ENDOMETRIUM	-3.475764983	-3.475764983	-3.475764983	0
JHOC5_OVARY	-3.776054241	-3.776054241	-3.776054241	0
NCIH1299_LUNG	-4.26304625	-4.26304625	-4.26304625	0
PANC1_PANCREAS	-3.96418496	-1.525140653	-1.99911275	0.071428571
SNU1076_UPPER_AERODIGESTIVE_TRACT	-3.355439657	-3.355439657	-3.355439657	0
IGR37_SKIN	-0.343338066	0.301232929	0.065967663	1
JHH6_LIVER	-3.919675581	-3.919675581	-3.919675581	0
NCIH460_LUNG	1.717777572	2.459708851	2.207549339	1
SJSA1_BONE	-3.253502711	-0.211154836	-0.552065015	0.214285714
A2058_SKIN	-0.619931154	1.293832901	0.948826466	1
ACCMESO1_PLEURA	-3.69081096	-3.69081096	-3.69081096	0
VMCUB1_URINARY_TRACT	-3.920633232	-1.595415817	-2.068448693	0.071428571
YD38_UPPER_AERODIGESTIVE_TRACT	-4.038823639	-2.122546871	-2.495447143	0.142857143
BFTC909_KIDNEY	-4.330648235	-4.330648235	-4.330648235	0
DAOY_CENTRAL_NERVOUS_SYSTEM	-4.267325048	-4.267325048	-4.267325048	0
EFO27_OVARY	-3.876831761	-3.876831761	-3.876831761	0
IGR1_SKIN	-3.812171508	-2.749196669	-3.069767836	0.142857143
LI7_LIVER	-3.757112879	-3.757112879	-3.757112879	0
OVK18_OVARY	-4.088137073	-4.088137073	-4.088137073	0
SBC5_LUNG	-2.846440865	-1.165394157	-1.477089899	0.214285714
TOV112D_OVARY	-3.865033764	-3.865033764	-3.865033764	0
KELLY_AUTONOMIC_GANGLIA	-3.624254925	-3.624254925	-3.624254925	0
PATU8902_PANCREAS	-3.6632511	-3.6632511	-3.6632511	0
TT2609C02_THYROID	-4.107432801	-1.494019463	-1.96665495	0.142857143
QGP1_PANCREAS	-4.031886531	-3.289482859	-3.632448865	0.071428571
SW1710_URINARY_TRACT	-4.108744349	-4.108744349	-4.108744349	0
BECKER_CENTRAL_NERVOUS_SYSTEM	-3.82014788	-3.82014788	-3.82014788	0
NCIH520_LUNG	-4.076935937	-3.074691383	-3.398272797	0.142857143
SNU685_ENDOMETRIUM	-3.810120042	-3.810120042	-3.810120042	0
SW1353_BONE	-3.409015511	-3.409015511	-3.409015511	0
A101D_SKIN	-3.241810862	-0.052879449	-0.511520756	0.285714286
BHT101_THYROID	-3.534126826	-3.534126826	-3.534126826	0
HEC1B_ENDOMETRIUM	-3.984471374	-1.83431951	-2.285235029	0.142857143
SNU61_LARGE_INTESTINE	-3.890829412	-3.890829412	-3.890829412	0
SNU886_LIVER	-3.593539937	-3.593539937	-3.593539937	0
SW1573_LUNG	-3.975478297	-1.037102976	-1.513224371	0.071428571
G402_SOFT_TISSUE	-4.243277472	-4.243277472	-4.243277472	0
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-4.019959884	-1.84942823	-2.320723539	0.071428571
RL952_ENDOMETRIUM	-4.169732775	-3.006043026	-3.427329102	0.071428571
CADOES1_BONE	-3.520081704	-1.30836464	-1.769950193	0.285714286
COLO668_LUNG	-3.284766678	-3.284766678	-3.284766678	0
LS513_LARGE_INTESTINE	-4.167149647	-4.167149647	-4.167149647	0
RMGI_OVARY	-3.922648031	-3.922648031	-3.922648031	0
VMRCRCW_KIDNEY	-4.056280279	-4.056280279	-4.056280279	0
CAKI1_KIDNEY	-4.06022879	-4.06022879	-4.06022879	0
OV7_OVARY	-2.993282	-2.993282	-2.993282	0
BEN_LUNG	-3.683166014	-3.683166014	-3.683166014	0
MKN1_STOMACH	-3.759737956	-3.759737956	-3.759737956	0
LCLC103H_LUNG	-3.597471182	-1.132586743	-1.603572286	0.214285714
NCIH1573_LUNG	-3.855507238	-3.855507238	-3.855507238	0
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	-3.873645779	-3.36003481	-3.629537448	0.071428571
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	-3.661903256	-3.661903256	-3.661903256	0
HCC4006_LUNG	-3.511823186	-1.354771251	-1.825884162	0.071428571
NCIH1581_LUNG	-3.504957813	-3.504957813	-3.504957813	0
CALU1_LUNG	-2.999530949	-2.999530949	-2.999530949	0
NUGC4_STOMACH	-3.702031823	-3.702031823	-3.702031823	0
NCIH1563_LUNG	-4.057677974	-4.057677974	-4.057677974	0
JHUEM2_ENDOMETRIUM	-3.600925695	-3.600925695	-3.600925695	0
JHOM1_OVARY	-4.184048558	-4.184048558	-4.184048558	0
SKOV3_OVARY	-3.828506333	-3.828506333	-3.828506333	0
SKNBE2_AUTONOMIC_GANGLIA	-3.968870777	-0.925382112	-1.401718252	0.071428571
LUDLU1_LUNG	-3.857355564	-3.857355564	-3.857355564	0
HCC1359_LUNG	-4.003501165	-1.748775789	-2.221092144	0.071428571
PK1_PANCREAS	-3.91193739	-2.187268823	-2.648317532	0.071428571
SNU466_CENTRAL_NERVOUS_SYSTEM	-3.944315669	-3.944315669	-3.944315669	0
SKLU1_LUNG	-3.805433862	-3.805433862	-3.805433862	0
NCIH1838_LUNG	-4.142991866	-4.142991866	-4.142991866	0
SNU245_BILIARY_TRACT	-4.235883094	-1.320772347	-1.796838787	0.071428571
MKN74_STOMACH	-3.818402914	-1.193183641	-1.668251051	0.071428571
KYSE180_OESOPHAGUS	-3.870436253	-0.749019156	-1.225484161	0.071428571
KMRC1_KIDNEY	-4.118759898	-4.118759898	-4.118759898	0
CALU6_LUNG	-4.350372077	-4.350372077	-4.350372077	0
GOS3_CENTRAL_NERVOUS_SYSTEM	-4.059302953	-1.623849601	-2.097795647	0.071428571
HUH6_LIVER	-3.707101126	-3.707101126	-3.707101126	0
PK59_PANCREAS	-3.818133835	-3.818133835	-3.818133835	0
TCCSUP_URINARY_TRACT	-3.860174474	-3.860174474	-3.860174474	0
HS939T_SKIN	-2.982290164	0.501843314	0.088056411	0.285714286
TOV21G_OVARY	-3.644592126	-3.644592126	-3.644592126	0
OVTOKO_OVARY	-3.958474934	-3.958474934	-3.958474934	0
TE1_OESOPHAGUS	-3.547631937	-3.547631937	-3.547631937	0
DANG_PANCREAS	-3.990032899	-3.476421929	-3.745924568	0.071428571
LMSU_STOMACH	-3.51508041	-3.51508041	-3.51508041	0
MSTO211H_PLEURA	-3.886021675	-3.886021675	-3.886021675	0
T47D_BREAST	-4.173252246	-2.066974867	-2.537348376	0.071428571
PC3_PROSTATE	-3.897270218	-3.897270218	-3.897270218	0
VMRCRCZ_KIDNEY	-3.544610746	-3.544610746	-3.544610746	0
RVH421_SKIN	-3.830472953	-3.830472953	-3.830472953	0
JHOS2_OVARY	-4.093381285	-4.093381285	-4.093381285	0
HS852T_SKIN	-3.62509536	-3.62509536	-3.62509536	0
SNU738_CENTRAL_NERVOUS_SYSTEM	-3.784279205	-3.784279205	-3.784279205	0
SKMEL30_SKIN	-3.788766207	-3.788766207	-3.788766207	0
NCIH522_LUNG	-4.192143911	-4.192143911	-4.192143911	0
PATU8988S_PANCREAS	-4.215076797	-4.215076797	-4.215076797	0
MFE280_ENDOMETRIUM	-3.986759307	-3.986759307	-3.986759307	0
OVSAHO_OVARY	-3.794630308	-3.794630308	-3.794630308	0
SNUC4_LARGE_INTESTINE	-3.403287311	-0.261375275	-0.585124408	0.428571429
KPL1_BREAST	-4.148750062	-4.148750062	-4.148750062	0
KYSE520_OESOPHAGUS	-3.779156885	-3.779156885	-3.779156885	0
COLO792_SKIN	-3.956522167	-3.956522167	-3.956522167	0
SW1990_PANCREAS	-3.726972609	-1.07906273	-1.554234457	0.071428571
HS729_SOFT_TISSUE	-3.856863446	-3.856863446	-3.856863446	0
TE6_OESOPHAGUS	-3.893326669	-3.893326669	-3.893326669	0
NCIH727_LUNG	-4.037850974	-4.037850974	-4.037850974	0
PANC0203_PANCREAS	-3.922436386	-3.408825417	-3.678328055	0.071428571
NCIH358_LUNG	-3.662866428	-0.6265498	-1.055883322	0.142857143
HEC59_ENDOMETRIUM	-4.087558496	-3.573947526	-3.843450165	0.071428571
HCC1419_BREAST	-3.876125782	-3.876125782	-3.876125782	0
NCIH1792_LUNG	-3.604682018	-3.604682018	-3.604682018	0
NCIH1048_LUNG	-4.187396851	-4.187396851	-4.187396851	0
NCIH1568_LUNG	-3.525321156	-1.143395252	-1.613713391	0.214285714
EFM192A_BREAST	-3.735683443	-3.735683443	-3.735683443	0
MKN7_STOMACH	-3.804184891	-3.804184891	-3.804184891	0
SNU423_LIVER	-3.751500955	-0.803049833	-1.279194132	0.071428571
PK45H_PANCREAS	-4.01536953	-4.01536953	-4.01536953	0
