Cell_line	CI.05	CI.95	mean	penetrance
KYSE510_OESOPHAGUS	-3.235235943	-2.443916395	-2.70126918	0.357142857
8505C_THYROID	-1.004575554	0.775878578	0.340623115	0.5
GI1_CENTRAL_NERVOUS_SYSTEM	-3.623834097	-3.623834097	-3.623834097	0
A549_LUNG	-0.568394262	0.378195293	0.068156369	0.642857143
LU99_LUNG	-0.863611807	-0.004799482	-0.325499923	1
CAL29_URINARY_TRACT	-3.94752451	-3.94752451	-3.94752451	0
5637_URINARY_TRACT	-3.751187045	-3.751187045	-3.751187045	0
SW948_LARGE_INTESTINE	-4.303123683	-3.518684923	-3.753660791	0.142857143
NCIH1339_LUNG	-4.036306453	-4.036306453	-4.036306453	0
HEC1A_ENDOMETRIUM	-1.265246584	-0.543374756	-0.798806737	0.571428571
SNU840_OVARY	-1.399911501	-0.563323387	-0.836414905	0.428571429
HCC827_LUNG	-3.732908389	-3.732908389	-3.732908389	0
GAMG_CENTRAL_NERVOUS_SYSTEM	-3.941488353	-2.84642826	-3.258835896	0.071428571
NCIH1437_LUNG	-4.388226489	-3.17703942	-3.603787729	0.071428571
GB1_CENTRAL_NERVOUS_SYSTEM	-1.643551436	-0.978486065	-1.211978801	0.357142857
NCIH322_LUNG	-3.987580021	-1.655798805	-2.1213114	0.142857143
SNUC2A_LARGE_INTESTINE	-4.578756735	-2.43487049	-2.770807014	0.214285714
CORL23_LUNG	-3.375401201	-1.772031565	-2.209906235	0.357142857
SNU761_LIVER	-3.842471158	-1.738956319	-2.138294071	0.142857143
NCIN87_STOMACH	-3.584646224	-3.584646224	-3.584646224	0
RERFLCAD2_LUNG	-3.719774656	-3.719774656	-3.719774656	0
HCC1806_BREAST	-2.017359843	-1.042742329	-1.33727365	0.357142857
NCIH1793_LUNG	-3.794061674	-3.794061674	-3.794061674	0
MESSA_SOFT_TISSUE	-3.59590946	-1.84877891	-2.23733589	0.214285714
NCIH1975_LUNG	-3.923915736	-3.241263279	-3.567531447	0.071428571
MFE296_ENDOMETRIUM	-3.057395695	-2.183674195	-2.463550386	0.285714286
KYSE270_OESOPHAGUS	-3.578982828	-2.798052813	-3.068526405	0.214285714
KYSE150_OESOPHAGUS	-0.385134275	0.851689122	0.547379288	0.714285714
PSN1_PANCREAS	-1.799482844	-0.742948352	-1.058180787	0.285714286
OC316_OVARY	-3.854518238	-1.571712348	-2.044327992	0.071428571
CAL27_UPPER_AERODIGESTIVE_TRACT	-2.84960533	-1.189560147	-1.494253602	0.285714286
A172_CENTRAL_NERVOUS_SYSTEM	-4.269424937	-4.269424937	-4.269424937	0
TE11_OESOPHAGUS	-3.36279969	-1.543505412	-1.92822804	0.214285714
BC3C_URINARY_TRACT	-1.530619909	-1.053947379	-1.238837494	0.571428571
ESS1_ENDOMETRIUM	-3.643788621	-3.643788621	-3.643788621	0
HS944T_SKIN	-0.758871247	0.846885044	0.424478095	0.642857143
NCIH2023_LUNG	-2.839841355	-1.580105098	-1.915669092	0.214285714
RH30_SOFT_TISSUE	-3.963318777	-3.963318777	-3.963318777	0
8MGBA_CENTRAL_NERVOUS_SYSTEM	-3.68206281	-2.745989341	-3.132599918	0.071428571
MPP89_PLEURA	-3.660937942	-3.660937942	-3.660937942	0
GCIY_STOMACH	-4.050013295	-3.113939825	-3.500550402	0.071428571
SNU213_PANCREAS	-3.763874854	-1.701410644	-2.171074011	0.071428571
SF539_CENTRAL_NERVOUS_SYSTEM	-3.531791206	-3.531791206	-3.531791206	0
YD8_UPPER_AERODIGESTIVE_TRACT	-3.881741737	-3.19908928	-3.525357448	0.071428571
HARA_LUNG	-2.041990972	-1.092102219	-1.375359242	0.357142857
MHHES1_BONE	-3.52178883	-2.73735007	-2.972325938	0.142857143
MELHO_SKIN	-2.21083454	-0.815096849	-1.2352279	0.5
U251MG_CENTRAL_NERVOUS_SYSTEM	-3.854022892	-3.854022892	-3.854022892	0
JIMT1_BREAST	-3.680587499	-2.997935041	-3.324203209	0.071428571
PANC1005_PANCREAS	-3.833471246	-3.833471246	-3.833471246	0
NCIH1703_LUNG	-3.595341992	-3.595341992	-3.595341992	0
KYSE410_OESOPHAGUS	-3.707448561	-3.707448561	-3.707448561	0
HT144_SKIN	-3.616830907	-3.616830907	-3.616830907	0
SNU601_STOMACH	-3.583723665	-3.583723665	-3.583723665	0
LS411N_LARGE_INTESTINE	-3.950015023	-3.013941553	-3.40055213	0.071428571
U2OS_BONE	-3.554847537	-3.554847537	-3.554847537	0
22RV1_PROSTATE	-3.824015414	-3.141362956	-3.467631124	0.071428571
OE19_OESOPHAGUS	-3.980970466	-3.980970466	-3.980970466	0
SH4_SKIN	-3.592183472	-3.592183472	-3.592183472	0
NCIH661_LUNG	-3.981894497	-1.934023868	-2.389093654	0.142857143
LC1SQSF_LUNG	-3.841707003	-3.841707003	-3.841707003	0
JHH1_LIVER	-3.809159365	-3.809159365	-3.809159365	0
NCIH28_PLEURA	-3.423945854	-3.423945854	-3.423945854	0
GMS10_CENTRAL_NERVOUS_SYSTEM	-3.684449554	-3.684449554	-3.684449554	0
HEYA8_OVARY	-0.492770417	0.249779855	-0.056007154	1
RKO_LARGE_INTESTINE	-2.613828014	-1.84370184	-2.107654265	0.5
CAL62_THYROID	-3.111304813	-1.526465981	-1.848859054	0.285714286
HLF_LIVER	-3.322593535	-3.322593535	-3.322593535	0
T24_URINARY_TRACT	-3.913884902	-2.702697833	-3.129446142	0.071428571
ES2_OVARY	0.825231069	1.838540346	1.477524428	1
YD15_SALIVARY_GLAND	-3.66612533	-2.670353299	-2.983472872	0.142857143
KYSE70_OESOPHAGUS	-3.652181083	-2.797378303	-3.072491903	0.214285714
KP4_PANCREAS	-1.339614412	-1.012188585	-1.148514932	0.785714286
A2780_OVARY	-0.310551219	-0.107801353	-0.198562406	1
AGS_STOMACH	-1.815192107	-1.456987878	-1.600556494	0.785714286
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	-4.021984571	-1.756813103	-2.229243037	0.071428571
HGC27_STOMACH	-3.645394147	-3.645394147	-3.645394147	0
647V_URINARY_TRACT	-3.716078957	-1.878869367	-2.297900916	0.214285714
CAL12T_LUNG	-3.778420169	-1.935304488	-2.400136099	0.071428571
L33_PANCREAS	-3.607319671	-1.294846749	-1.64764209	0.214285714
SF295_CENTRAL_NERVOUS_SYSTEM	-3.617044793	-3.617044793	-3.617044793	0
UO31_KIDNEY	-3.751814638	-2.815741169	-3.202351746	0.071428571
YD10B_UPPER_AERODIGESTIVE_TRACT	-3.910851653	-1.326708042	-1.798718401	0.142857143
DMS273_LUNG	-0.249836172	0.13278266	-0.027774045	1
G361_SKIN	-3.468029255	-1.087728528	-1.511027785	0.214285714
OAW42_OVARY	-3.610798943	-3.610798943	-3.610798943	0
HMC18_BREAST	-3.656067388	-1.536673069	-1.998013978	0.214285714
CAL54_KIDNEY	-3.424612461	-3.424612461	-3.424612461	0
MIAPACA2_PANCREAS	-4.045890717	-3.050118686	-3.363238259	0.142857143
SW620_LARGE_INTESTINE	-1.57301415	-0.405869796	-0.781306959	0.928571429
SKHEP1_LIVER	-0.521396071	0.284274314	0.024473034	0.928571429
SW480_LARGE_INTESTINE	-1.725852139	-0.451841872	-0.823286458	0.428571429
YKG1_CENTRAL_NERVOUS_SYSTEM	-3.98584558	-1.677862024	-2.150730209	0.071428571
J82_URINARY_TRACT	-3.788478117	-3.004039357	-3.239015225	0.142857143
KYSE30_OESOPHAGUS	-2.17342152	-1.417720187	-1.682306664	0.357142857
NCIH2172_LUNG	-3.950610627	-3.950610627	-3.950610627	0
G401_SOFT_TISSUE	-3.570835643	-2.47577555	-2.888183185	0.071428571
SNU407_LARGE_INTESTINE	-3.338312575	-0.983970252	-1.442976624	0.142857143
AN3CA_ENDOMETRIUM	-3.68389993	-3.68389993	-3.68389993	0
PLCPRF5_LIVER	-3.712627015	-3.712627015	-3.712627015	0
YAPC_PANCREAS	-3.219565954	-0.949596222	-1.320612665	0.214285714
SCABER_URINARY_TRACT	-3.800276075	-2.864202605	-3.250813182	0.071428571
G292CLONEA141B1_BONE	-3.433839094	-3.433839094	-3.433839094	0
JHH4_LIVER	-3.714510416	-3.714510416	-3.714510416	0
HS766T_PANCREAS	-0.680103876	-0.114357367	-0.323652149	0.571428571
SW837_LARGE_INTESTINE	-3.887630175	-3.204977717	-3.531245885	0.071428571
KURAMOCHI_OVARY	-3.799995523	-3.799995523	-3.799995523	0
YH13_CENTRAL_NERVOUS_SYSTEM	-3.301888387	-3.301888387	-3.301888387	0
NCIH2052_PLEURA	-3.363181296	-3.363181296	-3.363181296	0
COLO679_SKIN	-3.737145442	-3.737145442	-3.737145442	0
A704_KIDNEY	-3.573207546	-3.573207546	-3.573207546	0
NCIH596_LUNG	-3.533608884	-3.533608884	-3.533608884	0
KP3_PANCREAS	-2.731166006	-1.272571467	-1.668496842	0.285714286
SKUT1_SOFT_TISSUE	-3.152671485	-1.461993427	-1.842388317	0.214285714
42MGBA_CENTRAL_NERVOUS_SYSTEM	-3.913560923	-3.913560923	-3.913560923	0
A375_SKIN	-1.148415041	-0.220544205	-0.542438227	0.785714286
FTC133_THYROID	-3.832430708	-3.832430708	-3.832430708	0
HT1080_SOFT_TISSUE	0.082042315	0.279411957	0.189845877	1
SNU1077_ENDOMETRIUM	-3.475764983	-3.475764983	-3.475764983	0
JHOC5_OVARY	-3.776054241	-3.093401784	-3.419669952	0.071428571
NCIH1299_LUNG	-4.26304625	-2.96032334	-3.396205538	0.071428571
PANC1_PANCREAS	-3.96418496	-3.96418496	-3.96418496	0
SNU1076_UPPER_AERODIGESTIVE_TRACT	-3.355439657	-1.202607128	-1.673661789	0.071428571
IGR37_SKIN	-0.237937021	0.658820239	0.347572153	1
JHH6_LIVER	-3.919675581	-3.919675581	-3.919675581	0
NCIH460_LUNG	1.908037323	2.757653253	2.441427227	1
SJSA1_BONE	-0.400576914	0.046204139	-0.132557416	0.785714286
A2058_SKIN	-0.139228525	0.316591738	0.133201057	1
ACCMESO1_PLEURA	-3.69081096	-3.008158502	-3.334426671	0.071428571
VMCUB1_URINARY_TRACT	-1.055211845	-0.309712946	-0.562418368	0.714285714
YD38_UPPER_AERODIGESTIVE_TRACT	-2.576706773	-1.206199238	-1.582609739	0.285714286
BFTC909_KIDNEY	-4.330648235	-4.330648235	-4.330648235	0
DAOY_CENTRAL_NERVOUS_SYSTEM	-4.267325048	-2.283290505	-2.734969097	0.142857143
EFO27_OVARY	-3.876831761	-1.988582296	-2.454611622	0.071428571
IGR1_SKIN	-3.455787219	-0.28797206	-0.761871777	0.214285714
LI7_LIVER	-3.757112879	-3.757112879	-3.757112879	0
OVK18_OVARY	-3.731752784	-2.950822769	-3.221296362	0.214285714
SBC5_LUNG	-3.523726949	-1.938165485	-2.347755287	0.214285714
TOV112D_OVARY	-3.865033764	-3.865033764	-3.865033764	0
KELLY_AUTONOMIC_GANGLIA	-3.624254925	-2.941602468	-3.267870636	0.071428571
PATU8902_PANCREAS	-3.6632511	-3.6632511	-3.6632511	0
TT2609C02_THYROID	-3.751048512	-2.970118497	-3.24059209	0.214285714
QGP1_PANCREAS	-4.031886531	-3.349234074	-3.675502242	0.071428571
SW1710_URINARY_TRACT	-4.108744349	-4.108744349	-4.108744349	0
BECKER_CENTRAL_NERVOUS_SYSTEM	-3.82014788	-1.206788691	-1.586058143	0.142857143
NCIH520_LUNG	-4.076935937	-1.9013972	-2.361978079	0.142857143
SNU685_ENDOMETRIUM	-3.810120042	-1.943851421	-2.409312568	0.071428571
SW1353_BONE	-3.409015511	-3.409015511	-3.409015511	0
A101D_SKIN	-1.945833191	-0.392769616	-0.804927651	0.5
BHT101_THYROID	-3.534126826	-2.851474368	-3.177742537	0.071428571
HEC1B_ENDOMETRIUM	-3.984471374	-1.437882701	-1.912543617	0.071428571
SNU61_LARGE_INTESTINE	-3.890829412	-3.890829412	-3.890829412	0
SNU886_LIVER	-3.593539937	-3.593539937	-3.593539937	0
SW1573_LUNG	-2.880418204	0.297014877	-0.178734932	0.214285714
G402_SOFT_TISSUE	-4.243277472	-4.243277472	-4.243277472	0
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	-4.019959884	-1.833498243	-2.305002026	0.071428571
RL952_ENDOMETRIUM	-3.302892063	-0.660833561	-1.131909524	0.357142857
CADOES1_BONE	-2.985445375	-0.9525152	-1.369597691	0.285714286
COLO668_LUNG	-3.284766678	-3.284766678	-3.284766678	0
LS513_LARGE_INTESTINE	-4.167149647	-4.167149647	-4.167149647	0
RMGI_OVARY	-3.922648031	-3.922648031	-3.922648031	0
VMRCRCW_KIDNEY	-2.594163413	-1.329843699	-1.644797619	0.357142857
CAKI1_KIDNEY	-4.06022879	-4.06022879	-4.06022879	0
OV7_OVARY	-2.993282	-2.993282	-2.993282	0
BEN_LUNG	-3.683166014	-3.683166014	-3.683166014	0
MKN1_STOMACH	-3.759737956	-3.759737956	-3.759737956	0
LCLC103H_LUNG	-3.485195224	-1.46812179	-1.925652554	0.214285714
NCIH1573_LUNG	-3.855507238	-0.509071997	-0.856865427	0.142857143
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	-3.873645779	-1.319281821	-1.713111853	0.142857143
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	-0.925218239	-0.195394091	-0.44059036	0.571428571
HCC4006_LUNG	-3.511823186	-3.511823186	-3.511823186	0
NCIH1581_LUNG	-3.504957813	-3.504957813	-3.504957813	0
CALU1_LUNG	-2.999530949	-0.743452685	-1.215783903	0.071428571
NUGC4_STOMACH	-3.15256893	-1.191411676	-1.577283386	0.214285714
NCIH1563_LUNG	-4.057677974	-2.387548384	-2.813787925	0.142857143
JHUEM2_ENDOMETRIUM	-3.600925695	-1.865177385	-2.326623733	0.071428571
JHOM1_OVARY	-4.184048558	-3.501396101	-3.827664269	0.071428571
SKOV3_OVARY	-3.828506333	-1.631389783	-2.103028851	0.071428571
SKNBE2_AUTONOMIC_GANGLIA	-3.968870777	-3.968870777	-3.968870777	0
LUDLU1_LUNG	-3.857355564	-3.857355564	-3.857355564	0
HCC1359_LUNG	-4.003501165	-4.003501165	-4.003501165	0
PK1_PANCREAS	-3.91193739	-1.637859212	-2.110383876	0.071428571
SNU466_CENTRAL_NERVOUS_SYSTEM	-3.944315669	-2.151574136	-2.614918034	0.071428571
SKLU1_LUNG	-3.805433862	-3.805433862	-3.805433862	0
NCIH1838_LUNG	-4.142991866	-4.142991866	-4.142991866	0
SNU245_BILIARY_TRACT	-4.235883094	-4.235883094	-4.235883094	0
MKN74_STOMACH	-3.818402914	-3.818402914	-3.818402914	0
