Cell_line	CI.05	CI.95	mean	penetrance
KYSE510_OESOPHAGUS	-3.563911418	-2.524685257	-2.814372739	0.285714286
8505C_THYROID	-1.268478484	-0.861438386	-1.026910062	1
GI1_CENTRAL_NERVOUS_SYSTEM	-3.623834097	-3.623834097	-3.623834097	0
A549_LUNG	-0.427904217	-0.123382093	-0.260313072	1
LU99_LUNG	1.007221719	1.233565421	1.12967212	1
CAL29_URINARY_TRACT	-3.94752451	-3.94752451	-3.94752451	0
5637_URINARY_TRACT	-3.751187045	-3.751187045	-3.751187045	0
SW948_LARGE_INTESTINE	-4.303123683	-3.849872157	-4.09543878	0.071428571
NCIH1339_LUNG	-4.036306453	-4.036306453	-4.036306453	0
HEC1A_ENDOMETRIUM	-1.379183764	-0.511129213	-0.818927467	0.857142857
SNU840_OVARY	-3.844375683	-3.844375683	-3.844375683	0
HCC827_LUNG	-3.732908389	-3.732908389	-3.732908389	0
GAMG_CENTRAL_NERVOUS_SYSTEM	-3.941488353	-3.941488353	-3.941488353	0
NCIH1437_LUNG	-3.850061252	-1.653870984	-2.068349108	0.214285714
GB1_CENTRAL_NERVOUS_SYSTEM	-4.055034096	-3.132918611	-3.516868859	0.071428571
NCIH322_LUNG	-3.987580021	-3.987580021	-3.987580021	0
SNUC2A_LARGE_INTESTINE	-1.633314602	-1.191010314	-1.383324302	1
CORL23_LUNG	-0.40234041	0.112700935	-0.095576799	0.928571429
SNU761_LIVER	-3.842471158	-2.920355673	-3.30430592	0.071428571
NCIN87_STOMACH	-3.584646224	-3.584646224	-3.584646224	0
RERFLCAD2_LUNG	-3.719774656	-3.719774656	-3.719774656	0
HCC1806_BREAST	-1.756572218	-1.444195271	-1.577782086	0.857142857
NCIH1793_LUNG	-3.794061674	-3.794061674	-3.794061674	0
MESSA_SOFT_TISSUE	-3.952293749	-3.952293749	-3.952293749	0
NCIH1975_LUNG	-3.923915736	-3.109755451	-3.47066421	0.071428571
MFE296_ENDOMETRIUM	-1.389006453	-0.645724477	-0.902371626	0.428571429
KYSE270_OESOPHAGUS	-1.03162078	-0.504950117	-0.707552645	0.857142857
KYSE150_OESOPHAGUS	-2.62032681	-0.995999629	-1.396433342	0.5
PSN1_PANCREAS	0.109478101	0.922422495	0.648782491	0.785714286
OC316_OVARY	-2.194006574	-0.988239358	-1.331620727	0.5
CAL27_UPPER_AERODIGESTIVE_TRACT	-4.2278894	-4.2278894	-4.2278894	0
A172_CENTRAL_NERVOUS_SYSTEM	-2.87297589	-2.059191073	-2.327618114	0.5
TE11_OESOPHAGUS	-2.39525469	-1.640895301	-1.897732187	0.428571429
BC3C_URINARY_TRACT	-3.901733716	-3.901733716	-3.901733716	0
ESS1_ENDOMETRIUM	-3.643788621	-3.643788621	-3.643788621	0
HS944T_SKIN	-0.927175145	-0.501286782	-0.672120767	0.785714286
NCIH2023_LUNG	-3.888088654	-3.888088654	-3.888088654	0
RH30_SOFT_TISSUE	-1.732257659	-0.923690516	-1.19362115	0.428571429
8MGBA_CENTRAL_NERVOUS_SYSTEM	-1.320865867	-0.52811538	-0.786706429	0.714285714
MPP89_PLEURA	-3.660937942	-2.373234025	-2.807734094	0.071428571
GCIY_STOMACH	-4.050013295	-4.050013295	-4.050013295	0
SNU213_PANCREAS	-3.763874854	-3.763874854	-3.763874854	0
SF539_CENTRAL_NERVOUS_SYSTEM	-3.531791206	-3.531791206	-3.531791206	0
YD8_UPPER_AERODIGESTIVE_TRACT	-3.881741737	-3.881741737	-3.881741737	0
HARA_LUNG	-1.407075579	-0.540015941	-0.842347061	0.642857143
MHHES1_BONE	-0.203147046	0.717263754	0.372084968	0.928571429
MELHO_SKIN	-0.332686234	0.558806141	0.260046546	0.714285714
U251MG_CENTRAL_NERVOUS_SYSTEM	-3.854022892	-3.039862607	-3.400771365	0.071428571
JIMT1_BREAST	-2.519515231	-1.804394421	-2.050192538	0.357142857
PANC1005_PANCREAS	-3.833471246	-3.833471246	-3.833471246	0
NCIH1703_LUNG	-2.824085197	-1.381838201	-1.788088916	0.214285714
KYSE410_OESOPHAGUS	-3.707448561	-2.785333076	-3.169283324	0.071428571
HT144_SKIN	-3.269232511	-0.96553948	-1.428473633	0.214285714
SNU601_STOMACH	-3.583723665	-3.583723665	-3.583723665	0
LS411N_LARGE_INTESTINE	-3.950015023	-3.950015023	-3.950015023	0
U2OS_BONE	-3.554847537	-3.554847537	-3.554847537	0
22RV1_PROSTATE	-3.285850176	-2.14638779	-2.438388895	0.214285714
OE19_OESOPHAGUS	-3.980970466	-3.980970466	-3.980970466	0
SH4_SKIN	-3.592183472	-3.592183472	-3.592183472	0
NCIH661_LUNG	-3.981894497	-2.973387343	-3.372733689	0.071428571
LC1SQSF_LUNG	-3.841707003	-3.841707003	-3.841707003	0
JHH1_LIVER	-3.809159365	-3.809159365	-3.809159365	0
NCIH28_PLEURA	-3.423945854	-3.423945854	-3.423945854	0
GMS10_CENTRAL_NERVOUS_SYSTEM	-3.684449554	-3.684449554	-3.684449554	0
HEYA8_OVARY	1.108921128	1.547276587	1.365586639	1
RKO_LARGE_INTESTINE	-2.908851131	-0.57512607	-0.921194967	0.357142857
CAL62_THYROID	-2.732165278	-1.764899711	-2.052580204	0.428571429
HLF_LIVER	-3.322593535	-2.126237562	-2.55133674	0.071428571
T24_URINARY_TRACT	-3.913884902	-3.913884902	-3.913884902	0
ES2_OVARY	1.906192844	2.142878074	2.037921834	1
YD15_SALIVARY_GLAND	-3.66612533	-1.977450692	-2.437138086	0.071428571
KYSE70_OESOPHAGUS	-4.008565372	-2.812209399	-3.237308578	0.071428571
KP4_PANCREAS	0.038554226	1.284054412	0.90283817	0.928571429
A2780_OVARY	1.889234287	2.249821164	2.099012937	1
AGS_STOMACH	-2.952395466	-2.369835956	-2.586289313	0.5
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	-4.021984571	-3.568733045	-3.814299668	0.071428571
HGC27_STOMACH	-3.645394147	-3.645394147	-3.645394147	0
647V_URINARY_TRACT	-3.258302961	-2.606981731	-2.843476003	0.357142857
CAL12T_LUNG	-3.778420169	-2.676310198	-2.964259884	0.142857143
L33_PANCREAS	-3.010841795	-1.556359126	-1.975722947	0.357142857
SF295_CENTRAL_NERVOUS_SYSTEM	-3.617044793	-3.617044793	-3.617044793	0
UO31_KIDNEY	-3.751814638	-3.751814638	-3.751814638	0
YD10B_UPPER_AERODIGESTIVE_TRACT	-3.910851653	-3.910851653	-3.910851653	0
DMS273_LUNG	1.461424974	1.773727861	1.635399488	1
G361_SKIN	-0.748877181	0.139665627	-0.169374373	0.642857143
OAW42_OVARY	-3.610798943	-3.610798943	-3.610798943	0
HMC18_BREAST	-0.813210793	-0.451997945	-0.601521141	0.857142857
CAL54_KIDNEY	-3.424612461	-3.424612461	-3.424612461	0
MIAPACA2_PANCREAS	-3.093028551	-2.490171295	-2.706471436	0.357142857
SW620_LARGE_INTESTINE	-2.808363619	-2.087555316	-2.33576094	0.5
SKHEP1_LIVER	0.529504502	0.884278544	0.729160528	1
SW480_LARGE_INTESTINE	-4.022825413	-3.484660175	-3.675227016	0.142857143
YKG1_CENTRAL_NERVOUS_SYSTEM	-3.98584558	-3.98584558	-3.98584558	0
J82_URINARY_TRACT	-3.788478117	-1.985395736	-2.449058837	0.071428571
KYSE30_OESOPHAGUS	-3.289167849	-2.254512858	-2.562568937	0.214285714
NCIH2172_LUNG	-2.942103473	-1.44899706	-1.876042699	0.357142857
G401_SOFT_TISSUE	-3.570835643	-2.900670881	-3.223237246	0.071428571
SNU407_LARGE_INTESTINE	-0.542276181	0.049995808	-0.180089333	0.642857143
AN3CA_ENDOMETRIUM	-3.476215027	-1.22733307	-1.685103635	0.214285714
PLCPRF5_LIVER	-3.712627015	-3.712627015	-3.712627015	0
YAPC_PANCREAS	-3.561343942	-2.429609566	-2.735162847	0.214285714
SCABER_URINARY_TRACT	-3.800276075	-3.800276075	-3.800276075	0
G292CLONEA141B1_BONE	-3.433839094	-3.433839094	-3.433839094	0
JHH4_LIVER	-3.714510416	-3.714510416	-3.714510416	0
HS766T_PANCREAS	-0.883222838	-0.441847066	-0.620347644	1
SW837_LARGE_INTESTINE	-3.887630175	-3.887630175	-3.887630175	0
KURAMOCHI_OVARY	-3.799995523	-3.799995523	-3.799995523	0
YH13_CENTRAL_NERVOUS_SYSTEM	-3.301888387	-3.301888387	-3.301888387	0
NCIH2052_PLEURA	-3.363181296	-3.363181296	-3.363181296	0
COLO679_SKIN	-3.737145442	-3.737145442	-3.737145442	0
A704_KIDNEY	-3.573207546	-3.573207546	-3.573207546	0
NCIH596_LUNG	-3.533608884	-3.533608884	-3.533608884	0
KP3_PANCREAS	-3.864337603	-2.261089261	-2.679027084	0.214285714
SKUT1_SOFT_TISSUE	-1.333520357	-0.089059563	-0.457231324	0.714285714
42MGBA_CENTRAL_NERVOUS_SYSTEM	-3.913560923	-3.099400638	-3.460309396	0.071428571
A375_SKIN	0.941214809	1.191287174	1.080321788	1
FTC133_THYROID	-3.484832311	-2.709764246	-2.97922686	0.214285714
HT1080_SOFT_TISSUE	1.539831075	2.263108462	1.983673711	1
SNU1077_ENDOMETRIUM	-3.475764983	-3.475764983	-3.475764983	0
JHOC5_OVARY	-3.776054241	-3.776054241	-3.776054241	0
NCIH1299_LUNG	-3.281470994	-0.723279026	-1.194730878	0.357142857
PANC1_PANCREAS	-2.327597261	-1.048958495	-1.451799049	0.571428571
SNU1076_UPPER_AERODIGESTIVE_TRACT	-3.355439657	-3.355439657	-3.355439657	0
IGR37_SKIN	1.022648534	1.367792125	1.219982485	1
JHH6_LIVER	-3.919675581	-3.919675581	-3.919675581	0
NCIH460_LUNG	1.274418969	1.580381049	1.444011781	1
SJSA1_BONE	-1.69912167	-0.267801937	-0.684467061	0.642857143
A2058_SKIN	0.917384339	1.183411194	1.065499153	1
ACCMESO1_PLEURA	-3.69081096	-3.69081096	-3.69081096	0
VMCUB1_URINARY_TRACT	-3.920633232	-3.920633232	-3.920633232	0
YD38_UPPER_AERODIGESTIVE_TRACT	-4.038823639	-4.038823639	-4.038823639	0
BFTC909_KIDNEY	-4.330648235	-4.330648235	-4.330648235	0
DAOY_CENTRAL_NERVOUS_SYSTEM	-4.267325048	-4.267325048	-4.267325048	0
EFO27_OVARY	-3.876831761	-3.876831761	-3.876831761	0
IGR1_SKIN	-0.144990183	0.308016523	0.129895533	0.928571429
LI7_LIVER	-3.757112879	-3.757112879	-3.757112879	0
OVK18_OVARY	-2.786915621	-1.525566472	-1.877903209	0.214285714
SBC5_LUNG	-0.218869954	0.557708889	0.30571102	0.714285714
TOV112D_OVARY	-3.865033764	-3.865033764	-3.865033764	0
KELLY_AUTONOMIC_GANGLIA	-3.624254925	-3.171003399	-3.416570022	0.071428571
PATU8902_PANCREAS	-2.629385101	-1.387627816	-1.759612002	0.285714286
TT2609C02_THYROID	-4.107432801	-4.107432801	-4.107432801	0
QGP1_PANCREAS	-2.108744412	-1.360841293	-1.612209696	0.357142857
SW1710_URINARY_TRACT	-4.108744349	-4.108744349	-4.108744349	0
BECKER_CENTRAL_NERVOUS_SYSTEM	-3.82014788	-3.82014788	-3.82014788	0
NCIH520_LUNG	-1.103904944	-0.173478113	-0.445323418	0.642857143
SNU685_ENDOMETRIUM	-3.810120042	-3.810120042	-3.810120042	0
SW1353_BONE	-3.409015511	-3.409015511	-3.409015511	0
A101D_SKIN	-1.124424045	0.047350674	-0.337992637	0.785714286
BHT101_THYROID	-0.653241021	0.121501249	-0.135593277	0.571428571
HEC1B_ENDOMETRIUM	-0.443246561	-0.002040953	-0.184267158	1
SNU61_LARGE_INTESTINE	-3.890829412	-3.890829412	-3.890829412	0
SNU886_LIVER	-3.593539937	-3.593539937	-3.593539937	0
SW1573_LUNG	-1.042492389	-0.633925312	-0.803239237	0.928571429
