Cell_line	CI.05	CI.95	mean	penetrance
KYSE510_OESOPHAGUS	-3.525046888	-1.498611371	-1.960035755	0.285714286
8505C_THYROID	-0.824497475	-0.041450557	-0.354831545	1
GI1_CENTRAL_NERVOUS_SYSTEM	-3.623834097	-3.623834097	-3.623834097	0
A549_LUNG	-0.615944255	0.015530767	-0.251146505	0.928571429
LU99_LUNG	-0.172916364	0.116320879	-0.008543288	1
CAL29_URINARY_TRACT	-3.94752451	-3.94752451	-3.94752451	0
5637_URINARY_TRACT	-3.751187045	-3.751187045	-3.751187045	0
SW948_LARGE_INTESTINE	-4.303123683	-3.666517765	-3.978760492	0.071428571
NCIH1339_LUNG	-4.036306453	-2.714354825	-3.041411581	0.142857143
HEC1A_ENDOMETRIUM	-1.985713436	-1.499817168	-1.690479257	0.785714286
SNU840_OVARY	-2.874589839	-1.823924572	-2.166436056	0.357142857
HCC827_LUNG	-3.732908389	-2.327585421	-2.611863729	0.142857143
GAMG_CENTRAL_NERVOUS_SYSTEM	-3.941488353	-3.941488353	-3.941488353	0
NCIH1437_LUNG	-4.388226489	-4.388226489	-4.388226489	0
GB1_CENTRAL_NERVOUS_SYSTEM	-4.055034096	-4.055034096	-4.055034096	0
NCIH322_LUNG	-3.987580021	-2.885176539	-3.298593406	0.071428571
SNUC2A_LARGE_INTESTINE	-2.288255894	-1.68367558	-1.920528082	0.928571429
CORL23_LUNG	-1.738249739	-0.632052663	-0.931512717	0.857142857
SNU761_LIVER	-3.842471158	-3.842471158	-3.842471158	0
NCIN87_STOMACH	-3.584646224	-2.806729173	-3.158853129	0.071428571
RERFLCAD2_LUNG	-3.719774656	-2.805032308	-3.142744888	0.142857143
HCC1806_BREAST	-1.380929771	-0.740633241	-0.971299491	0.714285714
NCIH1793_LUNG	-3.794061674	-3.794061674	-3.794061674	0
MESSA_SOFT_TISSUE	-3.952293749	-3.526500654	-3.760508578	0.071428571
NCIH1975_LUNG	-3.923915736	-2.882778548	-3.287309818	0.071428571
MFE296_ENDOMETRIUM	-3.841834456	-3.025463123	-3.333872778	0.142857143
KYSE270_OESOPHAGUS	-2.237638705	-1.586909485	-1.820220429	0.5
KYSE150_OESOPHAGUS	-0.325455777	0.146017449	-0.051354273	1
PSN1_PANCREAS	-1.093210926	0.390390756	-0.029839211	0.714285714
OC316_OVARY	-2.44919527	-0.779292647	-1.1905747	0.5
CAL27_UPPER_AERODIGESTIVE_TRACT	-1.422820215	-0.913507386	-1.123266024	0.857142857
A172_CENTRAL_NERVOUS_SYSTEM	-4.269424937	-3.491507886	-3.843631843	0.071428571
TE11_OESOPHAGUS	-1.422896689	0.439282734	0.046704544	0.785714286
BC3C_URINARY_TRACT	-3.709948545	-2.496410748	-2.883102508	0.214285714
ESS1_ENDOMETRIUM	-3.643788621	-3.643788621	-3.643788621	0
HS944T_SKIN	-0.416171126	0.596832127	0.268951856	1
NCIH2023_LUNG	-3.888088654	-2.64119918	-3.071717322	0.071428571
RH30_SOFT_TISSUE	-3.963318777	-3.963318777	-3.963318777	0
8MGBA_CENTRAL_NERVOUS_SYSTEM	-2.267359704	-1.511428648	-1.773855375	0.285714286
MPP89_PLEURA	-3.660937942	-3.660937942	-3.660937942	0
