CCLE_name	in_metmap125	in_metmap500	depmap_id	name	site_of_origin	corrected_site_of_origin	site_of_origin_detail	corrected_site_of_origin_detail	primary_with_met	primary_met_3category	tissue	cancer_type	cancer_subtype	gender	age	age_bin	ethnicity	inferred_ethnicity
SNU869_BILIARY_TRACT	TRUE	TRUE	ACH-000182	SNU869	primary	primary	NA	NA	1	primary_with_met	BILIARY_TRACT	bile duct cancer	cholangiocarcinoma, extrahepatic	NA	NA	NA	asian	asian
SNU245_BILIARY_TRACT	FALSE	TRUE	ACH-000268	SNU245	primary	primary	NA	NA	0	primary	BILIARY_TRACT	bile duct cancer	cholangiocarcinoma, extrahepatic	NA	NA	NA	asian	asian
SNU1196_BILIARY_TRACT	FALSE	TRUE	ACH-000461	SNU1196	primary	primary	NA	NA	0	primary	BILIARY_TRACT	bile duct cancer	cholangiocarcinoma, extrahepatic	NA	NA	NA	asian	asian
SNU1079_BILIARY_TRACT	FALSE	TRUE	ACH-000209	SNU1079	primary	primary	NA	NA	0	primary	BILIARY_TRACT	bile duct cancer	cholangiocarcinoma, intrahepatic	male	NA	NA	asian	asian
HUH28_BILIARY_TRACT	FALSE	TRUE	ACH-000808	HUH28	primary	primary	NA	NA	0	primary	BILIARY_TRACT	bile duct cancer	cholangiocarcinoma, intrahepatic	female	37	(30,40]	asian	asian
HUCCT1_BILIARY_TRACT	FALSE	TRUE	ACH-000976	HUCCT1	primary	metastasis	NA	ascites	0	metastasis	BILIARY_TRACT	bile duct cancer	cholangiocarcinoma, intrahepatic	male	56	(50,60]	asian	asian
SNU308_BILIARY_TRACT	FALSE	TRUE	ACH-000141	SNU308	primary	primary	NA	NA	0	primary	BILIARY_TRACT	bile duct cancer	gallbladder adenocarcinoma	NA	NA	NA	asian	asian
KMBC2_URINARY_TRACT	FALSE	TRUE	ACH-000862	KMBC2	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	carcinoma	NA	NA	NA	asian	asian
5637_URINARY_TRACT	TRUE	TRUE	ACH-000905	5637	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	carcinoma	male	68	(60,70]	caucasian	asian
SCABER_URINARY_TRACT	TRUE	TRUE	ACH-000839	SCABER	primary	primary	NA	NA	1	primary_with_met	URINARY_TRACT	bladder cancer	squamous cell carcinoma	male	58	(50,60]	african_american	african_american
253J_URINARY_TRACT	FALSE	TRUE	ACH-000011	253J	primary	metastasis	NA	retroperitoneal lymph node	0	metastasis	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	53	(50,60]	caucasian	caucasian
T24_URINARY_TRACT	TRUE	TRUE	ACH-000018	T24	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	81	(80,90]	caucasian	caucasian
253JBV_URINARY_TRACT	FALSE	TRUE	ACH-000026	253JBV	primary	metastasis	NA	retroperitoneal lymph node	0	metastasis	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	53	(50,60]	caucasian	caucasian
CAL29_URINARY_TRACT	TRUE	TRUE	ACH-000142	CAL29	primary	primary	NA	NA	1	primary_with_met	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	80	(70,80]	NA	caucasian
SW780_URINARY_TRACT	FALSE	TRUE	ACH-000384	SW780	primary	primary	NA	NA	1	primary_with_met	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	80	(70,80]	caucasian	caucasian
J82_URINARY_TRACT	TRUE	TRUE	ACH-000396	J82	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	58	(50,60]	caucasian	caucasian
RT112_URINARY_TRACT	FALSE	TRUE	ACH-000473	RT112	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	NA	NA	NA	caucasian
KU1919_URINARY_TRACT	FALSE	TRUE	ACH-000486	KU1919	primary	primary	NA	NA	1	primary_with_met	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	76	(70,80]	asian	asian
VMCUB1_URINARY_TRACT	FALSE	TRUE	ACH-000545	VMCUB1	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	male	NA	NA	NA	caucasian
SW1710_URINARY_TRACT	FALSE	TRUE	ACH-000566	SW1710	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	84	(80,90]	caucasian	caucasian
BC3C_URINARY_TRACT	FALSE	TRUE	ACH-000593	BC3C	primary	primary	NA	NA	0	primary	URINARY_TRACT	bladder cancer	transitional cell carcinoma	female	82	(80,90]	caucasian	caucasian
