	highly_variable
ENSG00000000003	True
ENSG00000000005	True
ENSG00000000419	False
ENSG00000000457	False
ENSG00000000460	False
ENSG00000000938	False
ENSG00000000971	True
ENSG00000001036	True
ENSG00000001084	True
ENSG00000001167	False
ENSG00000001460	False
ENSG00000001461	True
ENSG00000001497	False
ENSG00000001561	True
ENSG00000001617	True
ENSG00000001626	False
ENSG00000001629	False
ENSG00000001630	True
ENSG00000001631	False
ENSG00000002016	False
ENSG00000002330	False
ENSG00000002549	False
ENSG00000002586	True
ENSG00000002587	False
ENSG00000002726	True
ENSG00000002745	False
ENSG00000002746	True
ENSG00000002822	False
ENSG00000002834	False
ENSG00000002919	False
ENSG00000002933	False
ENSG00000003056	False
ENSG00000003096	False
ENSG00000003137	False
ENSG00000003147	True
ENSG00000003249	True
ENSG00000003393	False
ENSG00000003400	False
ENSG00000003402	True
ENSG00000003436	True
ENSG00000003509	False
ENSG00000003756	True
ENSG00000003987	False
ENSG00000003989	False
ENSG00000004059	False
ENSG00000004139	False
ENSG00000004142	False
ENSG00000004399	True
ENSG00000004455	False
ENSG00000004468	False
ENSG00000004478	False
ENSG00000004487	False
ENSG00000004534	False
ENSG00000004660	False
ENSG00000004700	False
ENSG00000004766	False
ENSG00000004776	False
ENSG00000004777	False
ENSG00000004779	False
ENSG00000004799	False
ENSG00000004809	False
ENSG00000004838	False
ENSG00000004846	False
ENSG00000004848	False
ENSG00000004864	False
ENSG00000004866	False
ENSG00000004897	False
ENSG00000004939	False
ENSG00000004948	False
ENSG00000004961	False
ENSG00000004975	False
ENSG00000005001	True
ENSG00000005007	False
ENSG00000005020	True
ENSG00000005022	False
ENSG00000005059	True
ENSG00000005073	False
ENSG00000005075	False
ENSG00000005100	False
ENSG00000005102	True
ENSG00000005108	False
ENSG00000005156	False
ENSG00000005175	False
ENSG00000005187	False
ENSG00000005189	False
ENSG00000005194	False
ENSG00000005206	False
ENSG00000005238	False
ENSG00000005243	True
ENSG00000005249	False
ENSG00000005302	False
ENSG00000005339	False
ENSG00000005379	False
ENSG00000005381	False
ENSG00000005421	False
ENSG00000005436	False
ENSG00000005448	True
ENSG00000005469	True
ENSG00000005471	False
ENSG00000005483	False
ENSG00000005486	False
ENSG00000005513	True
ENSG00000005700	False
ENSG00000005801	False
ENSG00000005810	False
ENSG00000005812	False
ENSG00000005844	False
ENSG00000005882	True
ENSG00000005884	True
ENSG00000005889	False
ENSG00000005893	True
ENSG00000005961	False
ENSG00000005981	True
ENSG00000006007	False
ENSG00000006015	False
ENSG00000006016	False
ENSG00000006025	True
ENSG00000006042	True
ENSG00000006047	True
ENSG00000006059	False
ENSG00000006062	True
ENSG00000006071	False
ENSG00000006116	False
ENSG00000006118	True
ENSG00000006125	False
ENSG00000006128	True
ENSG00000006194	False
ENSG00000006210	True
ENSG00000006282	False
ENSG00000006283	False
ENSG00000006327	True
ENSG00000006377	True
ENSG00000006432	False
ENSG00000006451	False
ENSG00000006453	True
ENSG00000006459	False
ENSG00000006468	True
ENSG00000006530	False
ENSG00000006534	True
ENSG00000006555	True
ENSG00000006576	False
ENSG00000006606	True
ENSG00000006607	False
ENSG00000006611	True
ENSG00000006625	False
ENSG00000006634	False
ENSG00000006638	False
ENSG00000006652	True
ENSG00000006659	True
ENSG00000006695	False
ENSG00000006704	False
ENSG00000006712	False
ENSG00000006715	False
ENSG00000006740	False
ENSG00000006744	False
ENSG00000006747	False
ENSG00000006756	True
ENSG00000006757	True
ENSG00000006788	False
ENSG00000006831	False
ENSG00000006837	False
ENSG00000007001	False
ENSG00000007038	True
ENSG00000007047	False
ENSG00000007062	False
ENSG00000007080	False
ENSG00000007129	False
ENSG00000007168	False
ENSG00000007171	False
ENSG00000007174	True
ENSG00000007202	False
ENSG00000007216	True
ENSG00000007237	False
ENSG00000007255	True
ENSG00000007264	False
ENSG00000007306	True
ENSG00000007312	False
ENSG00000007314	False
ENSG00000007341	False
ENSG00000007350	False
ENSG00000007372	True
ENSG00000007376	False
ENSG00000007384	True
ENSG00000007392	False
ENSG00000007402	False
ENSG00000007516	False
ENSG00000007520	False
ENSG00000007541	False
ENSG00000007545	False
ENSG00000007866	False
ENSG00000007908	False
ENSG00000007923	False
ENSG00000007933	True
ENSG00000007944	True
ENSG00000007952	True
ENSG00000007968	False
ENSG00000008018	False
ENSG00000008056	False
ENSG00000008083	False
ENSG00000008086	False
ENSG00000008118	False
ENSG00000008128	False
